date,value,timeseries_id,dataset_id,value_name
2013-10-31,97.1,K222,DIOP,iop
2013-11-30,97.0,K222,DIOP,iop
2013-12-31,97.3,K222,DIOP,iop
2014-01-31,97.3,K222,DIOP,iop
2014-02-28,97.8,K222,DIOP,iop
2014-03-31,97.5,K222,DIOP,iop
2014-04-30,97.8,K222,DIOP,iop
2014-05-31,97.6,K222,DIOP,iop
2014-06-30,97.8,K222,DIOP,iop
2014-07-31,98.3,K222,DIOP,iop
2014-08-31,97.7,K222,DIOP,iop
2014-09-30,98.3,K222,DIOP,iop
2014-10-31,98.1,K222,DIOP,iop
2014-11-30,98.1,K222,DIOP,iop
2014-12-31,98.4,K222,DIOP,iop
2015-01-31,98.2,K222,DIOP,iop
2015-02-28,98.7,K222,DIOP,iop
2015-03-31,99.2,K222,DIOP,iop
2015-04-30,99.5,K222,DIOP,iop
2015-05-31,99.3,K222,DIOP,iop
2015-06-30,99.4,K222,DIOP,iop
2015-07-31,98.5,K222,DIOP,iop
2015-08-31,99.0,K222,DIOP,iop
2015-09-30,99.2,K222,DIOP,iop
2015-10-31,99.4,K222,DIOP,iop
2015-11-30,98.3,K222,DIOP,iop
2015-12-31,97.8,K222,DIOP,iop
2016-01-31,98.9,K222,DIOP,iop
2016-02-29,98.4,K222,DIOP,iop
2016-03-31,99.1,K222,DIOP,iop
2016-04-30,101.9,K222,DIOP,iop
2016-05-31,100.6,K222,DIOP,iop
2016-06-30,99.8,K222,DIOP,iop
2016-07-31,99.8,K222,DIOP,iop
2016-08-31,99.9,K222,DIOP,iop
2016-09-30,100.0,K222,DIOP,iop
2016-10-31,99.0,K222,DIOP,iop
2016-11-30,100.6,K222,DIOP,iop
2016-12-31,102.3,K222,DIOP,iop
2017-01-31,102.1,K222,DIOP,iop
2017-02-28,101.2,K222,DIOP,iop
2017-03-31,100.5,K222,DIOP,iop
2017-04-30,100.7,K222,DIOP,iop
2017-05-31,101.0,K222,DIOP,iop
2017-06-30,101.1,K222,DIOP,iop
2017-07-31,101.4,K222,DIOP,iop
2017-08-31,101.5,K222,DIOP,iop
2017-09-30,102.7,K222,DIOP,iop
2017-10-31,103.0,K222,DIOP,iop
2017-11-30,103.0,K222,DIOP,iop
2017-12-31,102.8,K222,DIOP,iop
2018-01-31,102.4,K222,DIOP,iop
2018-02-28,102.5,K222,DIOP,iop
2018-03-31,102.2,K222,DIOP,iop
2018-04-30,101.6,K222,DIOP,iop
2018-05-31,101.1,K222,DIOP,iop
2018-06-30,102.1,K222,DIOP,iop
2018-07-31,102.3,K222,DIOP,iop
2018-08-31,102.4,K222,DIOP,iop
2018-09-30,101.7,K222,DIOP,iop
2018-10-31,101.7,K222,DIOP,iop
2018-11-30,101.6,K222,DIOP,iop
2018-12-31,101.0,K222,DIOP,iop
2019-01-31,102.0,K222,DIOP,iop
2019-02-28,102.3,K222,DIOP,iop
2019-03-31,103.2,K222,DIOP,iop
2019-04-30,100.0,K222,DIOP,iop
2019-05-31,101.1,K222,DIOP,iop
2019-06-30,101.1,K222,DIOP,iop
2019-07-31,101.2,K222,DIOP,iop
2019-08-31,100.5,K222,DIOP,iop
2019-09-30,100.3,K222,DIOP,iop
2019-10-31,100.4,K222,DIOP,iop
1990-03-31,50.5,L2NC,PN2,ios
1990-04-30,50.5,L2NC,PN2,ios
1990-05-31,50.5,L2NC,PN2,ios
1990-06-30,50.5,L2NC,PN2,ios
1990-07-31,50.43260869565217,L2NC,PN2,ios
1990-08-31,50.36521739130435,L2NC,PN2,ios
1990-09-30,50.3,L2NC,PN2,ios
1990-10-31,50.33369565217391,L2NC,PN2,ios
1990-11-30,50.36630434782609,L2NC,PN2,ios
